alpha beta ele Cz
-15 8 0 0.959
-10 8 0 0.71
-5 8 0 0.271
0 8 0 -0.031
5 8 0 -0.37
10 8 0 -0.736
15 8 0 -1.098
20 8 0 -1.396
25 8 0 -1.646
30 8 0 -1.961
35 8 0 -2.149
40 8 0 -2.281
45 8 0 -2.29
50 8 0 -2.184
55 8 0 -2.165
60 8 0 -2.15
70 8 0 -2.125
80 8 0 -2.018
90 8 0 -2.169
-20 10 0 1.161
-15 10 0 0.978
-10 10 0 0.709
-5 10 0 0.26
0 10 0 -0.034
5 10 0 -0.373
10 10 0 -0.735
15 10 0 -1.083
20 10 0 -1.382
25 10 0 -1.631
30 10 0 -1.939
35 10 0 -2.104
40 10 0 -2.231
45 10 0 -2.255
50 10 0 -2.239
55 10 0 -2.152
60 10 0 -2.114
70 10 0 -2.063
80 10 0 -1.919
90 10 0 -2.073
-20 15 0 1.145
-15 15 0 0.98
-10 15 0 0.71
-5 15 0 0.251
0 15 0 -0.048
5 15 0 -0.377
10 15 0 -0.725
15 15 0 -1.053
20 15 0 -1.336
25 15 0 -1.57
30 15 0 -1.888
35 15 0 -2.002
40 15 0 -2.095
45 15 0 -2.157
50 15 0 -2.109
55 15 0 -2.025
60 15 0 -1.99
70 15 0 -1.97
80 15 0 -2
90 15 0 -2.074
-20 20 0 1.115
-15 20 0 0.97
-10 20 0 0.71
-5 20 0 0.251
0 20 0 -0.037
5 20 0 -0.36
10 20 0 -0.689
15 20 0 -0.999
20 20 0 -1.271
25 20 0 -1.513
30 20 0 -1.799
35 20 0 -1.897
40 20 0 -1.991
45 20 0 -2.002
50 20 0 -1.986
55 20 0 -1.965
60 20 0 -1.986
70 20 0 -2.016
80 20 0 -2.034
90 20 0 -2.038
-20 25 0 1.07
-15 25 0 0.945
-10 25 0 0.71
-5 25 0 0.234
0 25 0 -0.033
5 25 0 -0.335
10 25 0 -0.626
15 25 0 -0.924
20 25 0 -1.21
25 25 0 -1.442
30 25 0 -1.651
35 25 0 -1.76
40 25 0 -1.86
45 25 0 -1.648
50 25 0 -1.848
55 25 0 -1.931
60 25 0 -1.962
70 25 0 -1.947
80 25 0 -2.032
90 25 0 -2.088
-20 30 0 1.015
-15 30 0 0.91
-10 30 0 0.71
-5 30 0 0.247
0 30 0 -0.006
5 30 0 -0.292
10 30 0 -0.564
15 30 0 -0.84
20 30 0 -1.113
25 30 0 -1.367
30 30 0 -1.55
35 30 0 -1.663
40 30 0 -1.747
45 30 0 -1.702
50 30 0 -1.649
55 30 0 -1.8
60 30 0 -1.876
70 30 0 -1.924
80 30 0 -1.958
90 30 0 -2.06
-20 -30 10 1.021
-15 -30 10 0.815
-10 -30 10 0.622
-5 -30 10 0.181
0 -30 10 -0.069
5 -30 10 -0.339
10 -30 10 -0.585
15 -30 10 -0.843
20 -30 10 -1.104
25 -30 10 -1.362
30 -30 10 -1.52
