alpha beta ele Cl
0 4 25 -0.006
5 4 25 -0.0104
10 4 25 -0.0152
15 4 25 -0.0217
20 4 25 -0.0179
25 4 25 -0.0124
30 4 25 -0.0061
35 4 25 -0.0075
40 4 25 -0.0116
45 4 25 -0.009
50 4 25 -0.0123
55 4 25 -0.0078
60 4 25 -0.0114
70 4 25 -0.0093
80 4 25 -0.0024
90 4 25 -0.0021
-20 6 25 -0.0053
-15 6 25 -0.0065
-10 6 25 -0.0068
-5 6 25 -0.0108
0 6 25 -0.0103
5 6 25 -0.0136
10 6 25 -0.0215
15 6 25 -0.0301
20 6 25 -0.0192
25 6 25 -0.0184
30 6 25 -0.0096
35 6 25 -0.0064
40 6 25 -0.0138
45 6 25 -0.0116
50 6 25 -0.0159
55 6 25 -0.0136
60 6 25 -0.0175
70 6 25 -0.0142
80 6 25 -0.0073
90 6 25 -0.0202
-20 8 25 -0.0136
-15 8 25 -0.008
-10 8 25 -0.0088
-5 8 25 -0.014
0 8 25 -0.0147
5 8 25 -0.0179
10 8 25 -0.0265
15 8 25 -0.0377
20 8 25 -0.0271
25 8 25 -0.0203
30 8 25 -0.0117
35 8 25 -0.004
40 8 25 -0.0097
45 8 25 -0.0145
50 8 25 -0.0238
55 8 25 -0.0165
60 8 25 -0.0223
70 8 25 -0.0177
80 8 25 -0.0119
90 8 25 -0.0134
-20 10 25 -0.0162
-15 10 25 -0.0124
-10 10 25 -0.0122
-5 10 25 -0.0174
0 10 25 -0.0183
5 10 25 -0.0221
10 10 25 -0.0326
15 10 25 -0.0452
20 10 25 -0.0371
25 10 25 -0.0259
30 10 25 -0.0145
35 10 25 0.0017
40 10 25 -0.0107
45 10 25 -0.016
50 10 25 -0.0266
55 10 25 -0.0153
60 10 25 -0.0244
70 10 25 -0.0205
80 10 25 -0.0166
90 10 25 -0.0154
-20 15 25 -0.0143
-15 15 25 -0.0183
-10 15 25 -0.0132
-5 15 25 -0.0202
0 15 25 -0.021
5 15 25 -0.0286
10 15 25 -0.0435
15 15 25 -0.0558
20 15 25 -0.0497
25 15 25 -0.0475
30 15 25 -0.023
35 15 25 -0.0082
40 15 25 -0.0159
45 15 25 -0.0299
50 15 25 -0.04
55 15 25 -0.0286
60 15 25 -0.0288
70 15 25 -0.0286
80 15 25 -0.0274
90 15 25 -0.0248
-20 20 25 -0.002
-15 20 25 -0.0113
-10 20 25 -0.0115
-5 20 25 -0.0183
0 20 25 -0.0242
5 20 25 -0.0351
10 20 25 -0.0528
15 20 25 -0.0635
20 20 25 -0.063
25 20 25 -0.0587
30 20 25 -0.038
35 20 25 -0.036
40 20 25 -0.0406
45 20 25 -0.0386
50 20 25 -0.0467
55 20 25 -0.0395
60 20 25 -0.0346
70 20 25 -0.042
80 20 25 -0.0367
90 20 25 -0.035
-20 25 25 0.0098
-15 25 25 -0.0007
-10 25 25 -0.0057
-5 25 25 -0.0193
0 25 25 -0.0258
5 25 25 -0.0371
10 25 25 -0.0567
15 25 25 -0.0706
20 25 25 -0.073
25 25 25 -0.0714
30 25 25 -0.0638
35 25 25 -0.0572
40 25 25 -0.0693
45 25 25 -0.0599
50 25 25 -0.0593
55 25 25 -0.0473
60 25 25 -0.0453
70 25 25 -0.0564
80 25 25 -0.0493
90 25 25 -0.0429
-20 30 25 -0.0232
-15 30 25 0.0091
